# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis;t__Alistipes_putredinis_DSM_17216	42.75	188.333333333	16834.1666667	15826.4	66049.2	1043.6	1027.66666667	8412.2	37949.0	105.666666667	30233.0	26.25	185.0	15.0	10682.4	968.333333333	23246.0	34.3333333333	8679.75	1654.0	22555.0	30174.25	52415.5	1341.0	25231.6666667	22751.0	19546.25	12669.5	29.6	17048.2	266.4	591.333333333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus;t__Bacteroides_coprophilus_DSM_18228_=_JCM_13818	99.25	169.833333333	209.166666667	187.8	234.2	169.0	253.666666667	173.4	117.5	106.666666667	60.25	110.5	232.666666667	16.0	191.4	371.333333333	564.5	86.0	302.0	595.0	433.25	207.75	276.5	124.0	127.666666667	117.0	46990.5	353.0	209.0	183.2	471.8	68.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	10941.75	10684.6666667	16705.8333333	19588.6	19312.2	15128.8	9084.33333333	8269.2	7282.5	6820.66666667	4293.25	4279.5	6020.66666667	574.0	6967.6	9909.66666667	18954.0	15548.6666667	9497.5	18189.2	9773.25	12724.0	17317.0	1904.0	8143.0	16970.8	12141.75	20088.5	12762.6	7578.6	12529.0	6093.33333333
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis;t__Candidatus_Methanomassiliicoccus_intestinalis_Issoire-Mx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	11.0	0.0	0.0	0.0	0.0	0.0	224.2	0.0	0.0
1	8.75	2.0	1.83333333333	2.0	3.6	1.8	10.6666666667	9.4	3.0	4.0	3.0	1.75	3.33333333333	6.0	5.8	5.66666666667	51.5	1.33333333333	15.0	10.2	3.0	4.75	6.75	1.5	1.0	2.2	1.75	0.5	11.0	1.0	10.6	21.6666666667
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	13.75	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.5	0.0	0.0	4.25	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75	0.0	736.5	0.0	0.0	0.0	38.0	0.0	11.8	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	0.0	64.5	0.0	0.0	0.0	3.5	0.0	2.2	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	13.0	0.0	0.0	0.0	0.5	0.0	0.6	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4	0.0	0.0
k__Bacteria	128.25	119.666666667	117.166666667	38.4	32.8	130.6	37.6666666667	28.4	84.5	173.0	37.25	73.75	97.0	68.0	357.2	30.0	20.0	111.0	116.5	274.6	223.75	160.5	78.0	224.0	160.666666667	219.8	35.0	95.0	63.2	261.0	232.8	113.0
