# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis;t__Alistipes_putredinis_DSM_17216	56.25	286.461538462	19112.7142857	12225.3333333	59067.6666667	670.923076923	327.5	15680.2666667	33191.375	89.5	43352.0	82.6	166.125	5335.0	17671.9166667	1612.6	23584.0	32.7	9931.83333333	1047.0	22517.0	20175.875	39218.4444444	6262.0	20392.125	23462.5	20410.1666667	11432.7	44.8333333333	22563.6666667	252.428571429	700.272727273
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus;t__Bacteroides_coprophilus_DSM_18228_=_JCM_13818	118.0	243.384615385	183.357142857	167.166666667	223.916666667	141.538461538	195.166666667	194.933333333	83.5	99.5	76.6	84.9	208.5	97.8	365.083333333	625.9	456.2	108.6	420.416666667	485.0	309.538461538	142.875	220.222222222	151.25	108.0	131.916666667	32915.6666667	332.0	207.0	272.083333333	444.428571429	71.2727272727
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	12926.875	12530.0	17000.9285714	17366.3333333	16747.0833333	11605.8461538	8107.25	11479.6	7075.25	5827.2	6720.4	3375.6	5478.0	9195.6	9728.58333333	15557.1	16291.5	16517.1	12485.4166667	14317.8888889	10866.4615385	9097.875	13479.3333333	4739.75	7398.125	15801.1666667	10035.0	16688.7	13030.8333333	8909.25	10502.8571429	7883.18181818
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis;t__Candidatus_Methanomassiliicoccus_intestinalis_Issoire-Mx1	0.0	0.153846153846	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555555555556	209.5	0.0	0.0	0.0	0.0	0.0	235.416666667	0.0	0.0
1	6.375	2.61538461538	11.3571428571	9.41666666667	3.5	4.15384615385	3.08333333333	6.46666666667	2.875	2.9	4.0	5.4	2.375	5.6	4.33333333333	6.3	15.4	2.0	6.08333333333	32.5555555556	3.38461538462	6.375	3.77777777778	7.5	2.0	6.75	3.66666666667	1.5	6.0	3.16666666667	6.21428571429	9.63636363636
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	19.625	0.0	0.0	0.0	0.0	0.0769230769231	0.0	0.0	0.375	0.0	0.0	1.9	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	383.75	0.0	0.0	0.0	21.7	0.0	14.25	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	33.75	0.0	0.0	0.0	2.4	0.0	2.16666666667	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	7.0	0.0	0.0	0.0	0.2	0.0	0.5	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	4.66666666667	0.0	0.0
k__Bacteria	152.0	133.153846154	90.3571428571	39.8333333333	36.75	157.461538462	16.4166666667	34.2666666667	94.25	167.5	46.1	43.2	75.75	68.8	331.166666667	49.7	35.6	133.4	135.916666667	218.0	145.461538462	115.0	80.1111111111	203.0	120.5	193.5	25.75	77.2	84.0	267.0	164.357142857	90.8181818182
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_ATCC_15703	367.625	124.153846154	11187.4285714	30.0	97.0833333333	1.23076923077	71.0833333333	72.0	5.0	1.4	42.6	9573.6	40.125	4097.8	15.0	53.0	240.2	3.3	0.5	18.3333333333	5125.92307692	0.625	2073.11111111	6069.5	121.625	1.08333333333	1816.66666667	14.9	0.666666666667	30.0833333333	2.71428571429	7047.09090909
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	38.0	48.9230769231	1108.85714286	3.16666666667	34.8333333333	0.230769230769	24.75	12.1333333333	0.5	0.1	10.1	991.7	16.125	301.4	1.16666666667	5.5	25.0	0.7	0.0	4.66666666667	539.846153846	0.0	197.444444444	692.75	50.375	0.166666666667	212.583333333	5.2	0.0	13.1666666667	0.428571428571	697.727272727
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	13.875	102.769230769	165.0	25.9166666667	84.25	5.07692307692	55.9166666667	16.6666666667	0.625	0.0	51.5	318.7	46.125	99.0	94.4166666667	5.9	18.3	248.5	0.166666666667	18.4444444444	98.0769230769	0.125	73.6666666667	342.5	72.75	0.0833333333333	82.1666666667	18.5	0.25	33.25	0.285714285714	299.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus_curtisii;t__Mobiluncus_curtisii_ATCC_43063	0.25	0.0	0.142857142857	0.416666666667	0.333333333333	0.230769230769	0.0	0.0666666666667	0.125	0.1	0.3	0.1	0.25	1.2	0.583333333333	0.0	0.0	0.2	0.666666666667	0.111111111111	0.153846153846	0.25	0.333333333333	0.0	6.125	0.166666666667	0.333333333333	0.7	0.0833333333333	0.0833333333333	0.285714285714	0.0909090909091
