# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
0;Other;Other;Other;Other;Other;Other	8.75	2.0	1.83333333333	2.0	3.6	1.8	10.6666666667	9.4	3.0	4.0	3.0	1.75	3.33333333333	6.0	5.8	5.66666666667	51.5	1.33333333333	15.0	10.2	3.0	4.75	6.75	1.5	1.0	2.2	1.75	0.5	11.0	1.0	10.6	21.6666666667
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	13.0	0.0	0.0	0.0	0.5	0.0	0.6	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	15.75	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.0	0.0	0.0	5.5	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	801.0	0.0	0.0	0.0	41.5	0.0	14.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	11.0	0.0	0.0	0.0	0.0	0.0	229.6	0.0	0.0
k__Bacteria;Other;Other;Other;Other;Other;Other	128.25	119.666666667	117.166666667	38.4	32.8	130.6	37.6666666667	28.4	84.5	173.0	37.25	73.75	97.0	68.0	357.2	30.0	20.0	111.0	116.5	274.6	223.75	160.5	78.0	224.0	160.666666667	219.8	35.0	95.0	63.2	261.0	232.8	113.0
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other;Other	0.5	0.0	0.166666666667	1.2	0.0	1.4	0.0	0.0	0.5	0.333333333333	0.0	2.0	0.0	1.0	0.6	0.333333333333	0.0	0.666666666667	0.5	0.2	0.25	0.0	0.25	0.5	0.666666666667	0.6	0.75	0.5	0.4	0.0	0.0	1.33333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other;Other	0.0	2.66666666667	2.16666666667	0.2	0.6	0.2	1.0	0.2	0.0	0.0	0.5	3.0	0.333333333333	2.0	0.4	0.0	0.0	3.0	0.0	0.6	0.25	0.75	0.0	5.5	1.0	0.0	0.25	0.5	0.2	0.6	0.0	2.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._oral_taxon_183	0.0	4.5	1.66666666667	0.4	14.2	2.0	0.333333333333	6.0	2.0	0.333333333333	1.75	3.75	0.333333333333	1.0	1.4	0.666666666667	0.0	11.6666666667	0.0	8.6	0.0	1.25	6.75	3.5	0.0	3.4	4.25	0.0	1.8	0.0	2.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;Other	0.25	0.333333333333	0.166666666667	0.4	0.4	0.2	0.0	0.8	0.0	0.0	0.0	0.5	0.333333333333	0.0	0.2	0.0	0.5	1.0	0.0	0.8	0.0	0.25	0.5	3.5	0.0	0.2	0.25	0.0	0.2	0.4	0.2	0.333333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_dentalis	0.0	0.166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0
