# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_38	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_17	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
0;Other;Other;Other;Other	6.55865652569e-05	2.53157566398e-05	4.09214334628e-05	6.41256195072e-05	1.78693387777e-05	3.59659497339e-05	1.00774847826e-05	2.84942795628e-05	0.000165150275642	3.81257171991e-05	1.39709316679e-05	2.32965663966e-05	5.62766779256e-05	1.33971268304e-05	6.63903821979e-05	1.60018218918e-05	3.05826361521e-05	7.30472792916e-05	1.1353766391e-05	6.4800884004e-06	8.45656642918e-05	0.00049112186215	1.49579748429e-05	4.27567300159e-05	1.78231422281e-05	4.55456546477e-05	2.21230695265e-05	2.18859484626e-05	1.81522672832e-05	9.43761333111e-06	3.46830658617e-05	2.089488438e-05	3.18229809073e-05	6.56180417627e-05
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	8.73124259061e-05	0.0	0.0	0.0	0.0	3.41172219984e-07	0.0	0.0	6.76750856578e-07	2.66772410045e-06	0.0	0.0	9.01110056273e-06	7.14988870955e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12888298276e-05	0.0	0.00369908362098	0.0	0.0	0.0	0.000109066894322	0.0	8.11041877976e-05	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	4.87614589429e-07	3.31587140189e-07	0.0	0.0	0.0	0.0	0.0	4.6552767562e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26065219589e-06	0.00109500038518	0.0	0.0	0.0	0.0	0.0	0.00125486887659	0.0	0.0
k__Bacteria;Other;Other;Other;Other	0.000680284961907	0.000662126979967	0.000293133672284	0.000229330034004	0.000154097040483	0.00113565952999	4.30564145668e-05	0.000169691581312	0.000189742508224	0.000703446429412	0.000849062904236	0.000253143301999	0.000214631595825	0.000340781669561	0.000695580595903	0.00123728311523	0.000173709726118	0.000155655963563	0.000268892477824	0.000487225176156	0.000587345661919	0.00126403794453	0.000594901381379	0.000548002690551	0.000367827109407	0.00101929010838	0.000738808762613	0.000637590195885	0.000114691724686	0.000345453914467	0.000415164664305	0.00140814200037	0.000824166158096	0.000437026718958
k__Bacteria;p__Actinobacteria;Other;Other;Other	1.27417383698e-06	4.86470051687e-07	1.18830462243e-06	3.84860517138e-06	0.0	3.54284665788e-06	1.97443813414e-07	4.0906718836e-07	4.11334740098e-07	1.47329104707e-06	1.35255768659e-06	6.75634589788e-07	6.18154071667e-06	0.0	6.98107277949e-06	1.78850631125e-06	1.92578062204e-06	0.0	1.21312729903e-07	5.45959114262e-06	1.47381994408e-06	5.27659680592e-06	1.97774678868e-07	0.0	3.96323160454e-06	6.55713179245e-06	2.33219064885e-06	1.3891964941e-06	1.57106572916e-06	6.98572534085e-07	1.31707796877e-06	9.51434657521e-07	7.00150182847e-07	3.18264813928e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.0	1.27801867329e-05	4.26471723422e-06	1.90631309896e-07	2.05276447473e-06	3.70084981575e-06	1.44462832207e-06	1.88351584602e-07	8.26557594589e-07	3.71451155659e-07	2.84332593268e-06	4.97817443172e-06	1.12777305797e-05	3.83041916418e-06	1.01138560133e-05	1.77383224381e-06	6.76265122979e-07	3.88754120794e-07	1.82935539839e-06	4.97045909516e-06	9.15618447187e-07	1.41811836169e-06	4.06440559675e-06	2.49836876149e-06	2.30880386079e-06	2.68238034351e-05	2.40029567431e-06	4.42791356713e-07	4.34547190672e-06	9.01150512341e-07	2.18302649775e-06	1.42099276271e-06	1.32195257192e-06	1.08473809318e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	2.32885115275e-05	7.60493332848e-05	2.8129568375e-05	6.70570055835e-05	8.65721300041e-05	0.000108339564338	2.03559391258e-06	5.58893916887e-05	7.04542241471e-05	9.73304853376e-05	1.65354045766e-05	5.47428097395e-05	0.000104984738163	1.3117470089e-05	6.67439434901e-05	2.40831086713e-05	1.62946935799e-05	2.73645245977e-05	6.06023470829e-05	0.000114840468063	1.33922372181e-05	0.000136289634304	5.61817559098e-05	4.10974870386e-05	0.00015308231196	0.000451394582608	8.03016699362e-05	3.73907995235e-05	3.80854816071e-05	4.29074388856e-05	6.39525644367e-05	0.000102155891102	4.51208307532e-05	8.26051344537e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.00480483702351	0.0116303795982	0.0455290995261	0.00574742336526	0.00649218120667	0.00190636773292	0.00328285970884	0.00186330917632	8.27626147353e-05	0.00131992868494	3.28692463588e-05	0.00813129400737	0.0876639917194	0.00500462488186	0.069311806698	0.0126324009892	0.00118618097825	0.00453241742413	0.000208727296625	0.0312111183774	0.000177801800686	0.00510433521729	0.0299720866544	3.84561017089e-05	0.0305106344619	0.116729412208	0.00232890669125	2.97334458716e-05	0.0142553141912	0.00249308607918	1.94075132342e-05	0.00404907302063	5.36552899109e-05	0.0829005645087
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76043049408e-07	0.0	0.0	0.0	2.5e-06	1.32477844405e-06	0.0	8.56742556355e-07	1.50127833851e-07	3.63623140977e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.059830828e-05	0.0	0.0	1.40960233318e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	4.62016534026e-06	1.7816814987e-05	0.0	3.07836455819e-06	2.21298449909e-06	7.84368552366e-06	7.35772415065e-06	3.55287480117e-06	1.69987080982e-06	7.02352033035e-06	1.99022332023e-06	3.61795345926e-06	3.4235320245e-06	5.69665537969e-07	8.23055694171e-06	6.03552024374e-07	4.12850613932e-07	1.56910045034e-06	1.83082399967e-06	2.86435535462e-06	8.69488465422e-07	1.24220816597e-05	1.79619212432e-06	1.69189469647e-06	4.44913318316e-06	2.02713868287e-05	1.56109501449e-06	2.65674814028e-06	2.36337996033e-06	3.40707910903e-06	6.54628018744e-06	4.05402360496e-06	9.28107526621e-07	1.16707316197e-05
